tag	qps	mean_ms	page_occ	issued	crit_wait_ns	nvme_B	spec_pages	overlap
p0_warm	18.05	55.402	90.63	25031	43897980	101908480	0	0.15
p1_sync_e1a1	78.40	12.753	90.99	23975	18510607	5197824	0	0.14
p2_sync_e8a2	77.61	12.882	90.06	25165	9779376	4177920	0	0.10
p3_pipe_e1a1	98.71	10.128	90.22	23131	9923311	2154496	0	0.13
p4_pipe_e8a2	58.82	16.999	85.72	29735	22102530	17866752	0	0.11
p5_pipe_e8a4	54.52	18.341	82.94	33381	19770433	20979712	0	0.10
p6_pipe_e16a2	56.15	17.809	81.96	35386	21446122	17989632	0	0.10
p7_pipe_e4a2	97.93	10.210	88.86	26456	13831199	1589248	0	0.14
p8_spec8	87.64	11.408	87.44	27698	15800069	2850816	3703	0.14
p9_spec16	80.92	12.356	85.45	28715	15137532	2478080	8428	0.12
p10_spec32	78.75	12.697	81.39	29389	13402166	2457600	15263	0.12
p11_spec64	49.73	20.106	70.00	34060	11091879	10735616	32259	0.07
p12_look8	86.31	11.585	85.24	30414	19151172	1425408	0	0.15
p13_spec16_look8	91.35	10.945	86.09	27982	16376677	679936	7970	0.15
p14_spec32_w32	84.88	11.779	81.16	29293	13723547	1212416	14847	0.13
p15_spec32_e16a4	43.18	23.157	79.80	39458	21846451	15314944	16022	0.08
