tag	qps	mean_ms	page_occ	issued	crit_ns	nvme_B	spec_p
w_pipe_e1	106.10	9.423	91.11	23747	5608759	32768	0
w_sync_e8a2	105.40	9.486	89.70	25258	5895599	143360	0
w_pipe_e1a1	108.63	9.204	91.17	23963	6270250	16384	0
w_pipe_e1a2	102.92	9.714	90.95	24143	6805545	544768	0
w_pipe_e4a2	105.57	9.471	89.62	25915	12077118	36864	0
w_e1_spec8	103.46	9.664	89.20	24333	6580375	32768	3908
w_e1_spec16	99.67	10.032	84.31	24281	5732131	471040	7975
w_e1_spec32	91.67	10.907	79.65	27190	6236582	815104	14697
w_e1_spec16_look8	99.95	10.003	84.80	25651	6312408	32768	8101
w_e1_spec8_a2	102.90	9.716	89.29	24535	6645428	0	3933
