policy,budget,dram_bytes,nq,qps,mean_ms,p50,p90,p99,recall,dram_hits,ssd_misses,rerank
P0,0,67108864,10000,15.39,64.499,58.768,102.589,154.375,0.0016,210517871,152921570,1
P1,0,67108864,10000,16.36,60.683,55.800,95.262,138.962,0.0016,210517871,152921570,1
P1,262144,67108864,10000,16.25,61.018,56.263,95.786,138.253,0.0016,211158210,152921231,1
P1,1048576,67108864,10000,16.07,61.723,56.815,97.161,140.988,0.0015,212156807,153842686,1
P1,4194304,67108864,10000,15.59,63.700,58.899,99.216,142.537,0.0016,216071581,157607722,1
P3,262144,67108864,10000,16.15,61.452,56.523,96.757,140.783,0.0016,211158210,152921231,1
P0,0,67108864,10000,18.54,53.608,48.893,86.629,123.715,0.0014,210475524,152643944,0
P1,0,67108864,10000,19.82,50.129,45.300,81.925,118.922,0.0014,210475524,152643944,0
P1,262144,67108864,10000,19.71,50.423,45.564,82.658,119.879,0.0014,211115863,152643605,0
P1,1048576,67108864,10000,19.32,51.422,46.508,83.956,121.447,0.0014,212114460,153565060,0
